date,sales
2019-01-01,120
2019-02-01,130
2019-03-01,150
2019-04-01,160
2019-05-01,155
2019-06-01,165
2019-07-01,170
2019-08-01,175
2019-09-01,180
2019-10-01,190
2019-11-01,200
2019-12-01,220
2020-01-01,125
2020-02-01,135
2020-03-01,140
2020-04-01,145
2020-05-01,150
2020-06-01,160
2020-07-01,170
2020-08-01,180
2020-09-01,185
2020-10-01,195
2020-11-01,205
2020-12-01,230
2021-01-01,130
2021-02-01,140
2021-03-01,155
2021-04-01,165
2021-05-01,158
2021-06-01,168
2021-07-01,175
2021-08-01,180
2021-09-01,185
2021-10-01,195
2021-11-01,210
2021-12-01,235
